Time,SensorTimestamp,Value,Sensor
87,369934.0,MAX86915 IR
87,364666.0,MAX86915 RED
88,369605.0,MAX86915 IR
88,364440.0,MAX86915 RED
89,369302.0,MAX86915 IR
89,364209.0,MAX86915 RED
90,368966.0,MAX86915 IR
90,364036.0,MAX86915 RED
91,368694.0,MAX86915 IR
91,363809.0,MAX86915 RED
92,368415.0,MAX86915 IR
92,363673.0,MAX86915 RED
93,368203.0,MAX86915 IR
93,363498.0,MAX86915 RED
94,368021.0,MAX86915 IR
94,363405.0,MAX86915 RED
95,367847.0,MAX86915 IR
95,363254.0,MAX86915 RED
96,367755.0,MAX86915 IR
96,363251.0,MAX86915 RED
97,367644.0,MAX86915 IR
97,363130.0,MAX86915 RED
98,367592.0,MAX86915 IR
98,363107.0,MAX86915 RED
99,367562.0,MAX86915 IR
99,363070.0,MAX86915 RED
100,367539.0,MAX86915 IR
100,362967.0,MAX86915 RED
101,367520.0,MAX86915 IR
101,362986.0,MAX86915 RED
102,367583.0,MAX86915 IR
102,362948.0,MAX86915 RED
103,367565.0,MAX86915 IR
103,363016.0,MAX86915 RED
104,367563.0,MAX86915 IR
104,362938.0,MAX86915 RED
105,367520.0,MAX86915 IR
105,362921.0,MAX86915 RED
106,367548.0,MAX86915 IR
106,362918.0,MAX86915 RED
107,367512.0,MAX86915 IR
107,362938.0,MAX86915 RED
108,367491.0,MAX86915 IR
108,362833.0,MAX86915 RED
109,367448.0,MAX86915 IR
109,362773.0,MAX86915 RED
110,367382.0,MAX86915 IR
110,362697.0,MAX86915 RED
111,367330.0,MAX86915 IR
111,362623.0,MAX86915 RED
112,367307.0,MAX86915 IR
112,362584.0,MAX86915 RED
113,367239.0,MAX86915 IR
113,362493.0,MAX86915 RED
114,367256.0,MAX86915 IR
114,362481.0,MAX86915 RED
115,367268.0,MAX86915 IR
115,362456.0,MAX86915 RED
116,367279.0,MAX86915 IR
116,362435.0,MAX86915 RED
117,367229.0,MAX86915 IR
117,362378.0,MAX86915 RED
118,367199.0,MAX86915 IR
118,362355.0,MAX86915 RED
119,367127.0,MAX86915 IR
119,362316.0,MAX86915 RED
120,367089.0,MAX86915 IR
120,362241.0,MAX86915 RED
121,367032.0,MAX86915 IR
121,362177.0,MAX86915 RED
122,366977.0,MAX86915 IR
122,362161.0,MAX86915 RED
123,366962.0,MAX86915 IR
123,362123.0,MAX86915 RED
124,366939.0,MAX86915 IR
124,362085.0,MAX86915 RED
125,366903.0,MAX86915 IR
125,362053.0,MAX86915 RED
126,366884.0,MAX86915 IR
126,362032.0,MAX86915 RED
127,366803.0,MAX86915 IR
127,361929.0,MAX86915 RED
128,366744.0,MAX86915 IR
128,361881.0,MAX86915 RED
129,366706.0,MAX86915 IR
129,361830.0,MAX86915 RED
130,366669.0,MAX86915 IR
130,361792.0,MAX86915 RED
131,366657.0,MAX86915 IR
131,361772.0,MAX86915 RED
132,366660.0,MAX86915 IR
132,361721.0,MAX86915 RED
133,366737.0,MAX86915 IR
133,361718.0,MAX86915 RED
134,366720.0,MAX86915 IR
134,361736.0,MAX86915 RED
135,366755.0,MAX86915 IR
135,361746.0,MAX86915 RED
136,366800.0,MAX86915 IR
136,361727.0,MAX86915 RED
137,366790.0,MAX86915 IR
137,361742.0,MAX86915 RED
138,366818.0,MAX86915 IR
138,361682.0,MAX86915 RED
139,366801.0,MAX86915 IR
139,361694.0,MAX86915 RED
140,366810.0,MAX86915 IR
140,361686.0,MAX86915 RED
141,366781.0,MAX86915 IR
141,361642.0,MAX86915 RED
142,366758.0,MAX86915 IR
142,361576.0,MAX86915 RED
143,366752.0,MAX86915 IR
143,361512.0,MAX86915 RED
144,366714.0,MAX86915 IR
144,361497.0,MAX86915 RED
145,366734.0,MAX86915 IR
145,361480.0,MAX86915 RED
146,366713.0,MAX86915 IR
146,361458.0,MAX86915 RED
147,366713.0,MAX86915 IR
147,361459.0,MAX86915 RED
148,366726.0,MAX86915 IR
148,361410.0,MAX86915 RED
149,366751.0,MAX86915 IR
149,361404.0,MAX86915 RED
150,366787.0,MAX86915 IR
150,361409.0,MAX86915 RED
151,366788.0,MAX86915 IR
151,361452.0,MAX86915 RED
152,366815.0,MAX86915 IR
152,361496.0,MAX86915 RED
153,366870.0,MAX86915 IR
153,361472.0,MAX86915 RED
154,366872.0,MAX86915 IR
154,361508.0,MAX86915 RED
155,366944.0,MAX86915 IR
155,361549.0,MAX86915 RED
156,366970.0,MAX86915 IR
156,361489.0,MAX86915 RED
157,366985.0,MAX86915 IR
157,361497.0,MAX86915 RED
158,366976.0,MAX86915 IR
158,361471.0,MAX86915 RED
159,366954.0,MAX86915 IR
159,361414.0,MAX86915 RED
160,366955.0,MAX86915 IR
160,361412.0,MAX86915 RED
161,366927.0,MAX86915 IR
161,361401.0,MAX86915 RED
162,366938.0,MAX86915 IR
162,361328.0,MAX86915 RED
163,366938.0,MAX86915 IR
163,361314.0,MAX86915 RED
164,366940.0,MAX86915 IR
164,361313.0,MAX86915 RED
165,366937.0,MAX86915 IR
165,361276.0,MAX86915 RED
166,366907.0,MAX86915 IR
166,361257.0,MAX86915 RED
167,366935.0,MAX86915 IR
167,361254.0,MAX86915 RED
168,366933.0,MAX86915 IR
168,361212.0,MAX86915 RED
169,366910.0,MAX86915 IR
169,361181.0,MAX86915 RED
170,366930.0,MAX86915 IR
170,361153.0,MAX86915 RED
171,366916.0,MAX86915 IR
171,361170.0,MAX86915 RED
